,sentiment,negative_reason,text
210,Negative,Others,b mayb cdnmedia bent analyz jt latest sock would seen attack democraci start long elxn43 n n cdnpoli kinsellag kinsella
211,Negative,Tell lies,b along thousand voter appal deceit smear campaign endors n show align valu two fossil fool amp n n votegreen2019 forwardtogeth elxn43 cdnpoli
212,Negative,Others,b montreal gazett one n nclearli need subscrib n cdnpoli elxn43
213,Negative,Tell lies,b god andrew scheer sad pathet littl man nthe entir focu platform base lie n abl make illus vivid persuas abl live daniel j boorstin imag elxn43 n
214,Negative,Others,b jason like alberta like nand differ provinc n cdnpoli elxn43
215,Negative,Others,b notic pattern folk n ntwo littl black girl get blackfac explain trudeau ntrudeau tweet pic chang includ person color n liber reach color politician publicli endors trudeau n n cndpoli n elxn43
216,Negative,Others,b nova scotia swept liber 2015 chanc repeat look good trudeau elxn43 cdnpoli n n
217,Negative,Tell lies,b oh f ck u stomach watch lyingandi today press confer one take away besid lie sack sh justin 2b transpar plu hire po dirti work elxn43 cdnpoli n
218,Negative,Climate Problem,b oh gonna die elxn43 cdnpoli nlpoli n nlook great lake flood hous n n
219,Negative,Others,b oh rosemari rosemari far sane logic cockamami elect cdnpoli elxn43 canadavotes2019 canadaelection2019
220,Negative,Scandal,b ok peopl got check thread compil bomb dot com uprisingh elxn43 cdnpoli
221,Negative,Tell lies,b omg n nif tweet believ n nyou serious make shit n n cndpoli elxn43 elxn2019
222,Negative,Scandal,b one thing say say excis kinsella team earli campaign cdnpoli elxn43
223,Negative,Scandal,b andrew scheer warren kinsella turn maxim bernier protagonist last 3 day elxn43 n nit remark n n cdnpoli yql
224,Negative,Others,b andrew scheer would dumb pay kinsella servic max go provid free mayb finish school beyond high school know elxn43
225,Negative,Tell lies,b even wors peopl share spread deliber know fals still drive undermin messag support polit alli elxn43
226,Negative,Scandal,b ouch trudeau staffer tri smear oppon say cdnpoli elxn43 trudeaumustgo lavscam
227,Negative,Scandal,b parti leader answer done three known blackfacetrudeau incid n cdnpoli elxn43
228,Negative,Tell lies,b pay lyin andi n n xf0 x9f x92 xb0 20 000 fine ethic violat n n xf0 x9f x93 x8fyou know rule n n elxn43 cdnpoli
229,Negative,Privilege,b peopl support need grow serious democraci santa give present ask rather find compromis benefici n elxn43 cdnpoli n defundcbc boycottpostmedia
230,Negative,Economy,b pipelin huawei saudi cpc n factsmatt cdnpoli elxn43 nocpc abc nfipa agreement china realli canada
231,Negative,Scandal,b ppc leader maxim bernier call conserv parti moral intellectu corrupt respond report tori hire consult firm discredit read cdnpoli elxn43
232,Negative,Others,b prevent ndp help renter provinc cool green say like ndp nif rent know truth elxn43 cdnpoli bcpoli vanpoli n n
233,Negative,Scandal,b scene conserv war room flee report question elxn43 kinsellag cdnpoli
234,Negative,Scandal,b scheer warren will pay undermin maxim bernier amp ppc campaign n nwarren pay screw amp f k sign chequ alreadi n n elxn43 cdnpoli ppc
235,Negative,Others,b scheer pm materi nhe might cpc materi pm nthi shitshow creat n elxn43
236,Negative,Tell lies,b scheer lie 460 xf0 x9f xa4 xa8 nscheer say talk coalit singh n xf0 x9f xa4 xa5thi true xf0 x9f xa4 xa5 nbut like minor elect 7 10 xf0 x9f xa4 x93 nscheer hope scare peopl away liber ndp lie n elxn43 n cpc hq
237,Negative,Tell lies,b scheer lie 461 nscheer respond question conserv hire warren kinsella smear oppon know evid exist prove true xf0 x9f xa4 xa5 ninstead respond avoid xf0 x9f x98 xa0 nthi still lie xf0 x9f xa4 x93 n elxn43
238,Negative,Others,b scheer say modern convent mean trudeau must quit win seat one cannot expect behaviour uneth xe2 x81 xa6 xe2 x81 xa9 cdnpoli elxn43 xe2 x81 xa6 xe2 x81 xa9 xe2 x81 xa6 xe2 x81 xa9 justin power
239,Negative,Scandal,b scheer say conserv hire consult destroy peopl parti cdnpoli elxn43 cpc
240,Negative,Scandal,b scheer say conserv hire consult destroy peopl parti elxn43 cdnpoli
241,Negative,Scandal,b scheer say conserv hire consult destroy peopl parti elxn43 cdnpoli cdnmedia
242,Negative,Scandal,b seek destroy ppc n andrewsch hire firm smeer destroy nshock nwhen zero leadership skill anyth stay power n shpk fortsask elxn43 kinsellag
243,Negative,Women Reproductive right and Racism,b seem con hire warren kinsella sabotag maxim bernier parti made trudeau bogeyman yr meanwhil scheer lie person resum falsifi opposit platform posit amp tri hide racist anti woman belief cdnpoli elxn43
244,Negative,Tell lies,b shifti slipperi honest comfort spew lie scheerhypocrisi elxn43
245,Negative,Scandal,b shock conserv liber xc2 xa0corrupt reveal former xc2 xa0liber xc2 xa0strategist kinsella wage covert campaign destroy peopl parti canada meaney4mp oakvil halton elxn43 cdnpoli kinsellag libconcorrupt
246,Negative,Scandal,b slime pure slime lyingandi sure lot question answer tell lie drink water turn run oh yeah open mouth n nhow rcmp inquiri kinsella dirti oper andi n n scheerdisast n scheerli n cdnpoli n elxn43
247,Negative,Scandal,b post kinsellag amp post leadership race confirm win fair fight andrew scheer put con conserv libconsmear elxn43 cdnelxn2019 cpc ppc2019 cdnpoli
248,Negative,Others,b elect almost jagmeet singh visit newfoundland labrador campaign elxn43 nlpoli
249,Negative,Scandal,b brainwash work student see bravo cdnpoli elxn43 n
250,Negative,Tell lies,b cdnmedia everi concern canadian play clip endless loop elect day canadian right know alreadi lie po lyingandi scheerli elxn43 cdnpoli
251,Negative,Others,b cdnpoli elxn43
252,Negative,Scandal,b appar kinsella cpc collus big scoop wk teas pretti signific elxn43 cdnpoli
253,Negative,Scandal,b elect even staff alreadi caught commit fraud n nformer hamilton centr conserv ride presid arrest fraud polic n ncue whatabout group think twittervers 5 4 3 2 n n elxn43
254,Negative,Women Reproductive right and Racism,b fight protect hard earn right xe2 x80 x99t stop ballot box canfem elxn43 n ngroup mission xe2 x80 x9celect candid commit restrict access abort canada tri recruit pro life peopl staff newli elect mp offic xe2 x80 x9d
255,Negative,Economy,b ndp basic broke littl leverag minor parliament practic matter abl threaten elect n nthe real question liber platform would ndp vote answer much n n cdnpoli elxn43
256,Negative,Others,b ndp never win major realli ought accept make think one fix everyon canada problem full n cdnpoli elxn43
257,Negative,Others,b possibl liber may agre ndp term green support conserv though scare 2 2 n n elxn43 cdnpoli cdnelxn2019
258,Negative,Scandal,b recogniz bia canada xe2 x80 x99 largest media compani postmedia come top xe2 x80 x9cmust conserv ride insid stori postmedia right turn xe2 x80 x9d cdnmedia cdnpoli elxn43
259,Negative,Others,b term octobersurpris one use usa polit late campaign plot twist turn tide one side warrenkinsella may suppli canadian version elxn43 doubleag tori happi andrewsch use
260,Negative,Scandal,b thing media offici endors candid mean alway tacitli support favourit n elxn43
261,Negative,Scandal,b toronto sun noth without permiss extrem right us own trump affili postmedia boss par cours express mission serv con postmedia use convict crimin conrad black rail pmjt elxn43 cdnmedia cdnpoli
262,Negative,Others,b word use describ andrew scheer say use polit compani spread field grow potato chooseforward elxn43 elxn2019
263,Negative,Others,b campaign terribl look ahead good thing could still lead n cdnpoli pharmacar hous climateact
264,Negative,Scandal,b old articl good one amp import pay attent maje jowhari infiltr canada polit system iran regim agent canada parliament via cdnpoli elxn43 richmondhil alert
265,Negative,Scandal,b appal slimi politick imagin betray canadian peopl deni real democraci promis 1800 time even answer question know decent answer cdnpoli elxn43 vote4pr
266,Negative,Others,b kinsella day elxn43
267,Negative,Scandal,b much fun bring lyingandi past answer embarrass question one ask hire hamish marshal former boss founder hate group proud boy elxn43 cdnpoli
268,Negative,Economy,b trudeau allegi lie n globalstag miss photo georg soro nfrank guistra unchr presid nif reelect money commit cdn taxpay global partner project n cdnpoli elxn43 ns
269,Negative,Scandal,b kinsella scandal involv seem lot rotten initi thought stonewal work elxn43 elxn2019
270,Negative,Scandal,b manni last tweet kinsellag scandal stori hope sincer fierc critic oppon one kinsellout elxn43 cdnpoli
271,Negative,Others,b today trudeau cite perri bellegard support ralli somehow think actual endors trudeau elxn43
272,Negative,Scandal,b translat scheer hire kinsella firm seek destroy ppc like trudeau well n n elxn43 kinsellag stopscheer
273,Negative,Others,b truth liber friend need reflect nliber trudeau deserv run canada n elxn43 cdnpoli polqc ottawasouth ottawacentr
274,Negative,Others,b uhm green hire kinsella let even get blackfac snclavalinscand ppl want big enough smear deter ppl support cpc gonna helluva lot better bullshit n elxn43 cdnpoli
275,Negative,Others,b umm hello n n kinsellag break amp cricket n nwhat one think n n cdnpoli canpoli elxn43 cdnmedia
276,Negative,Tell lies,b variou studi lol n n blackfac trudeau feckless lavscam liber noth four year evid new promis made elxn43 thing could done past four year cdnpoli
277,Negative,Separation,b vote us may activ work break countri good look canadian conserv elxn43 cdnpoli
278,Negative,Scandal,b wait bernier say polit comm guy hire polit comm work attack democraci offici found idiot take canada cdnpoli elxn43 maximefamilycult
279,Negative,Others,b warren kinsella consult firm work seek destroy bernier ppc parti document say cbc news cdnpoli elxn43 canadavot
280,Negative,Scandal,b watch wink respond report question whether hire dirti work n n cdnpoli elxn43
281,Negative,Tell lies,b also tell cut may may make confirm lie may may tell xf0 x9f x98 xb3 elxn43
282,Negative,Others,b well guess go anoth feder elect year elxn43 nonconfid
283,Negative,Economy,b gonna build great program may need may effect gonna make grandchildren pay progress deficit cdnpoli elxn43
284,Negative,Others,b incred loss access knowledg ebook librari repres incred access resourc four million canadian sincer hope tuesday govern recogn elxn43 ebooksforal n librari accessiblil
285,Negative,Others,b guy today watch video nand cri n n elxn43 uprisingh
286,Negative,Scandal,b scheer tri hide vendor relationship public gov ts total b vendor relat like corrupt amp politician pocket bribe scheer want comment help wonder cdnpoli elxn43 chooseforward
287,Negative,Tell lies,b point rule scheer cpc lie hire bot troll take parti fake news make mockeri canada elector system need system hold parti account real consequ elxn43 cdnpoli
288,Negative,Scandal,b whatev think trudeau blackfac past pretti big get endors obama mlk son counter also put black canadian ultra progress awkward spot first delic discredit obama mlk son cdnpoli elxn43
289,Negative,Others,b xe2 x80 xa6 4th 5th elect row fall ethic shelf hard elxn43
290,Negative,Climate Problem,b wrong liber climat approach everyth nit base inaccur ipcc model vs real data scienc fact climat crisi elxn43 n cdnpoli ottawacentr
291,Negative,Healthcare,b next prime minist canada n ndentalcar bad pay pay foreign profit oil amp ga n npharmacar realli bad good medicin suppos cost health n n polcan elxn43
292,Negative,Privilege,b next prime minist canada n nhe ask canadian citizen futur canadian dream big n nthat bad 1 dream big rest us pay n n polcan elxn43
293,Negative,Tell lies,b next prime minist canada n nhe hidden agenda hidden citizenship realli realli bad n nthe guy need face paint color reali bad costum industri n n polcan elxn43
294,Negative,Others,b ye good mice join uprisingh mice knock door street mouseland talk get fair share chees monday forget march poll mark x mighti mous initfory xf0 x9f xa7 xa1 xf0 x9f x8d x8a n xf0 x9f x90 xad xf0 x9f xa7 x80 n cdnpoli elxn43
295,Negative,Privilege,b ye care underhand backroom deal let hear conserv plan put pocket capp buddi remov gst home heat cost 1 4 billion year 2024 cdnpoli ableg elxn43
296,Negative,Privilege,b yike mayb flown toronto fast today n nlot teamtrudeau baggag haul n n twoplanetrudeau xe2 x9c x88 xe2 x9c x88 cdnpoli elxn43 n n xe2 xac x87 xe2 xac x87
297,Negative,Women Reproductive right and Racism,b let trump govern decid whether protect black brown refuge peopl seriou fight racism equival bought pipelin peopl care climat chang deal breaker ndp cdnpoli elxn43
298,Negative,Others,b need defeat replac n cdnpoli elxn43
299,Negative,Tell lies,b memori appar select let remind n nyou spent last year nose buri deepli ndp crack n nyou realli credibl critiqu today n n bcpoli cdnpoli elxn43
300,Negative,Others,b anxiousandrew xe2 x80 x99t threaten far right ppc xf0 x9f x98 x8f cdnpoli xc2 xa0 polcan xc2 xa0 elxn43 xc2 xa0 itsourvot
301,Negative,Others,b break insid say con xe2 x80 x9cmoral amp intellectu bankrupt xe2 x80 x9d n nand xe2 x80 x99ve done countless countless other corrupt pervert co opt amp ruin collect realiti amp entir commun n nthey bad guy n n chooseforward elxn43
302,Negative,Others,b canada elxn43 cdnpoli lifestyl end valu know sit accept lifestyl infiltr countri trudeaumustgo
303,Negative,Others,b canada pari accord one andrew scheer take us elxn43 cdnpoli nwake canada check led wrong path
304,Negative,Scandal,b canadavotes2019 elxn43 cdnpoli fact ethic watchdog push collus probe conserv canada largest oil ga lobbi group stand accus possibl collud violat countri elect law
305,Negative,Scandal,b canadavotes2019 elxn43 cdnpoli fact andrewsch american andrew scheer avoid answer repeat question relat campaign american style smear campaign oppon maximeberni conserv fear monger never chang
306,Negative,Scandal,b canadavotes2019 xf0 x9f x87 xa8 xf0 x9f x87 xa6 elxn43 cdnpoli fact ontario conserv parti face lawsuit elect parti allow ballot stuf illeg vote unqualifi peopl includ dougford famili member anyth win
307,Negative,Climate Problem,b carbontax set 33 cent per litr 2022 xe2 x80 x99 way coalit ga well 2 per litr canada afford cdnpoli elxn43
308,Negative,Others,b cdnmedia cdnpoli elxn43 ppc madmax trudeaumustgo trudeaublackfac okay everyon one feel peopl vs justin trudeau hd 720p via
309,Negative,Others,b cdnpoli elxn43 notasadvertis failur trust
310,Negative,Scandal,b cdnpoli elxn43 n n trudeau said could never run top job mani secret n n justsay
311,Negative,Others,b cdnpoli elxn43 nmore fals scheer attack desper trudeau
312,Negative,Others,b cdnpoli elxn43 nwatch cbc news channel ni piss
313,Negative,Scandal,b cdnpoli n elxn43 n cpckinsellag ntime investig promot fake scandal n chooseforward n voteliber xf0 x9f x87 xa8 xf0 x9f x87 xa6
314,Negative,Women Reproductive right and Racism,b cpc hire spree utmost import pro life movement excel pro life polit staff social conserv made scheer leader amp plan reopen abort debat reject fals equival made cpc claim elxn43
315,Negative,Others,b elxn43 nwhi say comment nwhen 1000 bullshbyt nwill
316,Negative,Tell lies,b elxn43 n kinsellag n cpc n lpc n ndp n ni wanna hear apolog peopl spread harm outright lie ppc candid support
317,Negative,Tell lies,b elxn43 nif consult paid guidelin disclosur came effect amp affect leader offici parti make contractor n1 complicit fake news n2 account seriou breach n3 influenc outcom n 4 max
318,Negative,Climate Problem,b elxn43 conserv new brunswick came radio lie climat problem indic respons climat chang would cost 100 time solv climatecrisi 1 step process demand remov xf0 x9f x8c x8e xf0 x9f x98 xa1
319,Negative,Others,b fptp parliament lack motiv cooper n n proportionalrepresent better option n n cdnpoli elxn43
320,Negative,Others,b genuismustgo abc2019 elxn43 vote n sherwoodparkfortsaskatchewan n2015 ncon 63 9 nlib 20 4 nnd 9 8 ngr 2 4 nlbt 1 0
321,Negative,Scandal,b leonaallesley sink zombi mode hear andrewsch bizarr refus answer team hire warrenkinsella use nixonian style dirti trick plagu polit adversari innoc xe2 x80 x99d say mean verdict guilti charg elxn43
322,Negative,Others,b libcon deserv loyalti non oct 21st make voic heard elxn43 cdnpoli ppc2019
323,Negative,Tell lies,b lyingandi scheerli xe2 x80 x93 guess xe2 x80 x93 lie teeth n n notasadvertis n cdnvote2019 elxn43 n canadavot elxn2019 n itsourvot chooseforward
324,Negative,Others,b ndp jagmeet like finer thing life like bmw pipelin fuel saudioil cdnpoli privateschoolinusa toronto brampton mississauga elxn43 edmonton
325,Negative,Others,b powerhungrylibcon n nthe lesson men dimpl nice hair amp turban look eye pay terrorist stab back n ni 1 face weapon mobil ruin reput livelihood peac mind ppc elxn43 cdnpoli
326,Negative,Others,b rebelmedia bull young 16 woman xe2 x81 xa6 xe2 x81 xa9 cdnpoli disgust elxn43
327,Negative,Tell lies,b scheer call campaign misinform instead campaign smear parliamentari expert say complet nonsens say get gov still say noth trump schenanigan islolatecanada xf0 x9f x99 x84numbskul cdnpoli elxn43
328,Negative,Scandal,b scheer ask 8 time conserv parti hire kinsella spread misinform maximeberni would say xe2 x80 x98ye xe2 x80 x99 xe2 x80 x98no xe2 x80 x99 much honesti amp transpar canadavotes2019 elxn43 cdnelxn2019 scheerdesper scheerli
329,Negative,Others,b trudeaublackfac must go elxn43
330,Negative,Others,b unfuckingbeliev sneaki n cdnpoli elxn2019 elxn43 prochoic
331,Negative,Tell lies,b vote smart peopl chooseforward vote candid least like win ride conserv leader he liar ndp uprisingh londonfanshaw elxn43
332,Negative,Others,b warrenkinsella elxn43 want trudeau defeat
333,Negative,Scandal,b warrenkinsella disown trudeau realli denounc meaning way ostens work greenparti elxn43 find work andrewsch like tommyleejon assassin charact packag everybodi pay
334,Negative,Scandal,b yankeedoodleandi hire outsid compani execut donaldtrump like dirtytrick oper seekanddestori polit rival maximeberni come elxn43 nonli thing miss ukrain xf0 x9f x98 x8b satir cluckcluck n scheerdisast n cdnpoli elxn43
335,Negative,Others,b last minut addit poppi candid xe2 x80 x99 sign indic endors candid parti behalf n ndo feel xe2 x80 x99 appropri use symbol n n canpoli elxn43
336,Negative,Climate Problem,b number show consum rev usag fuel widen discrep neg brand democrat oil produc like canada encourag shutdown respons transpar segment global industri elxn43
337,Negative,Tell lies,b never answer challeng question straight answer hide andi n cdnpoli elxn43
338,Negative,Tell lies,b tout qualif pm b c job work 20 25 xe2 x80 x99m qualifi ceo univers studio b c wrote screenplay 21 nah elxn43 weasel whose whole career taxpay dime brag xe2 x80 x9cbusi xe2 x80 x9d cred
339,Negative,Tell lies,b realli need nto speak way scheerdishonesti mislead canadian without name name elxn43
340,Negative,Tell lies,b xe2 x80 x99ve seen amor paychequ think hit piec part smear campaign n n ppc ppc2019 cdnpoli elxn43 n n
341,Negative,Tell lies,b ah ah andrewsch pcparti xf0 x9f x87 xa8 xf0 x9f x87 xa6 liar liar pant fire tu sai le canadien ne sont pa stupid nonli truth set free n cbcpolit radiocanadainfo n quebec n ctv cdnpoli canadadebates2019 canadavotes2019 elxn43
342,Negative,Others,b turd burglar steerclearofsch n election2019 elxn43 n vote vote vote
343,Negative,Others,b conserv seem unabl grasp concept advers infer come prefer candid n n cdnpoli elxn43
344,Negative,Separation,b see emmett right third sentenc falsehood driven conserv politician drive wedg countri manufactur fear anger turn vote dupe elxn43 cndpoli ableg
345,Negative,Others,b give opportun go back full time act drama teach trudeaumustgo elxn43
346,Negative,Others,b union member resent due use manner p mani us feel way n n elxn43 n n
347,Negative,Others,b look like thing less transpar scheer short presser n n elxn43
348,Negative,Women Reproductive right and Racism,b globe mail report conserv parti hire daisi group renown anti racism activ fight racism outsid elect period canada e even pre writ period cdnpoli elxn43
349,Negative,Others,b andi make rule see fit elxn43
350,Negative,Tell lies,b weakandi deceiptfulandi trend xe2 x80 x99 readi cdnpoli elxn43
351,Negative,Others,b liber keep kind oper staff butt telford cdnpoli elxn43
352,Negative,Others,b would speechless elxn43
353,Negative,Others,b incompet disrespect canadian rude answer xe2 x80 x99 xe2 x80 x99t know answer asid script answer fool inept canadadeservesbett trudeaumustgo elxn43 cdnpoli
354,Negative,Privilege,b total disdain common folk know best us answer peski question cdnpoli elxn43
355,Negative,Others,b scheer xe2 x80 x99t given straight answer import question stand entir elect stfu xe2 x80 x99re done hear n n elxn43 vote43 n chooseforward
356,Negative,Others,b arrog ok 30 canadian xe2 x80 x99t get elxn43
357,Negative,Scandal,b lmao keep spin end xe2 x80 x99 alreadi nmsm fail canadian miser partisan report xe2 x80 x99t soon forget n trudeaumustgo xf0 x9f x9a xbd n elxn43 n cdnpoli
358,Negative,Others,b happen mr polit differ mr sunni way mr open transpar nmr one way commun parrot back talk point give direct answer deserv one way answer back voter n buckthebinari ducktheduopoli elxn43 cdnpoli
359,Negative,Separation,b everyon kiss quebec ass want separ care let elxn43 cdnelxn2019 elx43
360,Negative,Others,b toast cdnpoli cdnmedia elxn43
361,Negative,Economy,b xe2 x80 x9cmore money pocket xe2 x80 x9d conserv doubl speak wage freez wage rollback increas retir wage regina skpoli cdnpoli elxn43
362,Negative,Climate Problem,b heck think cpc would continu kind tactic anyon perceiv xe2 x80 x9cthe opposit xe2 x80 x9d christ jkenney version xe2 x80 x9cstar chamber xe2 x80 x9d peski environmentalist xe2 x80 x99t cdnpoli elxn43
363,Negative,Scandal,b could said hire warren kinsella daisi group n nwhi cndpoli elxn43 chooseforward
364,Negative,Others,b fail connect elector campaign lose n nthe knive monday night remain opposit could peter mckay much visibl week elxn43
365,Negative,Scandal,b hey scheerrepublican trump call stay hell canadian elxn43 cdnpoli bcpoli onpoli quepoli
366,Negative,Economy,b hey lyin xe2 x80 x99 andi fact say otherwis job growth lpc govt greater master harper cdnpoli elxn43
367,Negative,Scandal,b prove guilt refus answer innoc would answer n scheerli n voteppc2019 n cdnelxn2019 n cdnpoli n elxn43
368,Negative,Tell lies,b one trust anymor moral corrupt let canadian truli believ conserv principl action highlight run campaign base lie attack lack decenc voic canada n n elxn43
369,Negative,Tell lies,b scheer continu deni lie data fact cdn economi demonstr exact opposit campaign year cdnpoli elxn43
370,Negative,Tell lies,b speak remov asterisk promis scheerli scheerdisast scheernotasadvertis n xf0 x9f x87 xa8 xf0 x9f x87 xa6 keepcanadacanadian xf0 x9f x87 xa8 xf0 x9f x87 xa6 n istandwithtrudeau elxn43
371,Negative,Privilege,b cpc liber support work class peopl n nthe truth care us n ngo canada go vote chooseforward choos n n xf0 x9f xa4 x9d xe2 x9c x8a xf0 x9f xa4 x9d ndp xf0 x9f xa4 x9d xe2 x9c x8a xf0 x9f xa4 x9d n n elxn43 powertotheinform n n uprisingh
372,Negative,Others,b warren kinsella dirti n scheerli n scheerhypocrisi n scheerdisast n chooseforward n elxn43
373,Negative,Women Reproductive right and Racism,b hire firm label fellow canadian racist nyou unfit trudeau run canada nthe choic clear vote peoplespartyofcanada nend libconcorrupt powerhungrylibcon elxn43
374,Negative,Scandal,b intern student serv espionag tool totalitarian regim reneg intern agreement export corrupt western democraci steal intellectu properti n n cdnpoli elxn43 bcpoli
375,Negative,Others,b oh gawd yankeedoodleandi hope someon go jail xf0 x9f x98 x8b satir cluckcluck n scheerdisast n cdnpoli elxn43 chooseforward n n
376,Negative,Separation,b carpet bomb bullshi albertan put scorn onslaught condemn lil greta also put trudeau xe2 x80 x99 grotesqu commit screw entir provinc ni feel love albertan n elxn43 n trudeamustgo
377,Negative,Separation,b bloc qu xc3 xa9b xc3 xa9coi want keep take us alberta amp encourag discours divis andrew alberta separ apart movement elxn43
378,Negative,Scandal,b clearli question n n peoplespartyofcanada n choosemaxim n ppc2019 n elxn43 n cdnelxn2019
379,Negative,Tell lies,b never happen cdnpoli scheerrepublican bigot racist liar firstnat must protect elxn43 read learn vote canadavotes2019
380,Negative,Tell lies,b lie one believ hypocrit trudeamustgo elxn43 cdnpoli
381,Negative,Climate Problem,b climat plan nyou mean carbontax climat chang plan nthere mani way continu put focu nneed global climat chang n cdnpoli elxn43
382,Negative,Tell lies,b one believ guy lie everi time speak elxn43 elxn43 trudeaumustgo
383,Negative,Tell lies,b talk big game transpar come other xe2 x80 x99re thick politician ad bonu suck deflect xe2 x80 x99re obvious avoid answer major peopl trust elxn43
384,Negative,Others,b appl pie andi question xe2 x80 x99t like cdnpoli elxn43
385,Negative,Scandal,b hey someon look footag back green hire kinsella see scheer comment n n elxn43 cdnpoli
386,Negative,Others,b wonder mani time chang underwear today n n elxn43 cdnpoli scheergrift lyingandi
387,Negative,Others,b oh noe someon lose teflon coat n trudeaumustgo n scheerhypocrisi n scheermustgo n cdnpoli n elxn43 n n
388,Negative,Scandal,b warren kinsella cpc oper bff jwr truth issu elizabeth may hire campaign help snake wk promot fake groper gate amp fake school scandal cpc behind hit job xf0 x9f xa4 x94 n elxn43 n cpckinsellag
389,Negative,Others,b report cover trudeau throw hand exasper xe2 x80 x99t answer q xe2 x80 x99 amp play uninterrupt clip stump speech includ partisan applaus pass balanc predict earlier xe2 x80 x99t hw cdnpoli elxn43
390,Negative,Tell lies,b becam trump canada lie desper evrythg truth gotta come via news folk thank fact check im vote elxn43 cdnpoli canadavotes2019
391,Negative,Tell lies,b guy spend time actual journal defundcbc elxn43 cdnpoli
392,Negative,Tell lies,b prime minist canada materi stop b canadian go away liar scheerhypocrisi elxn43
393,Negative,Others,b 905 robocal talk elxn43
394,Negative,Others,b queen amp let go xe2 x80 x9ci rule made xe2 x80 x9d downright delici n n elxn43
395,Negative,Others,b blackfac count elxn43
396,Negative,Scandal,b crap canadian think bias know full well liber thing nplu sourc trudeau campaign disgruntl ex employe reveal tidbit report n elxn43 cdnpoli
397,Negative,Scandal,b total uninterest overdos crisi bc look death toll sinc last elect elxn43 elxn2019
398,Negative,Economy,b lie go rais gst explain tax rais pay challeng justin trudeau today scheer said cdnpoli cdnmedia elxn43
399,Negative,Economy,b lie go rais gst explain tax rais pay challeng justin trudeau today scheer said cdnpoli cdnmedia elxn43
400,Negative,Tell lies,b love costum much n noh cano xf0 x9f x9b xb6 xf0 x9f x9b xb6 xf0 x9f x9b xb6 xf0 x9f x8f xb4 xe2 x80 x8d xe2 x98 xa0 xef xb8 x8f xf0 x9f x8f xb4 xe2 x80 x8d xe2 x98 xa0 xef xb8 x8f xf0 x9f x8f xb4 xe2 x80 x8d xe2 x98 xa0 xef xb8 x8f n n trudeauworstpm scheer4pm n scheer4thewin attackcano n elxn43 cdnelxn2019 xf0 x9f x87 xa8 xf0 x9f x87 xa6 xf0 x9f x8d x81 xf0 x9f x87 xa8 xf0 x9f x87 xa6
401,Negative,Women Reproductive right and Racism,b say canadian women lose abort right one conserv mp privat member bill time andrew scheer becom pm n n cdnpoli elxn43
402,Negative,Others,b u see charli fakenew elxn43 scheerisfear
403,Negative,Tell lies,b giveusdata cdnpoli bcpoli vanpoli yvrre vanr n n elxn43 elxn2019 canadavot oct21 n n338 canada seat project n 136 n123 n36 n39 n2 n1 nindepend 1
404,Negative,Tell lies,b giveusdata cdnpoli bcpoli vanpoli yvrre vanr n n elxn43 elxn2019 canadavot oct21 n nlispop n 134 n132 n31 n35 n4 n1 nindepend 1
405,Negative,Others,b releas earlier cdnpoli itsourvot elxn43
406,Negative,Others,b amp also nmi god would ever terribl prime minist n neversch n scheeramerican n scheerli n scheerdisast n chooseforwardwithtrudeau n voteliber n elxn43 cdnpoli
407,Negative,Scandal,b decid factor canadian dont want scheer trump hate right wing whitesupremacist conservativeparti canada american citizen leader elxn43 canadavot raptor
408,Negative,Scandal,b someon ask plea charg obstruct n elxn43 trudeaucorrupt
409,Negative,Economy,b xe2 x80 x99t afford conserv bloc coalit wage freez wage rollback increas retir age ask ontario alberta nurs public sector afford conserv regim skpoli cdnpoli regina elxn43
410,Negative,Others,b 8 year old quot must get desper morn saw tweet support ndp candid ride hope steer voter away closest rival futur mp milton weird strategi xf0 x9f xa4 xb7 xe2 x80 x8d xe2 x99 x82 xef xb8 x8f cdnpoli elxn43 scheerdesper
411,Negative,Tell lies,b bewar canada rememb conserv parti canada purpos sent peopl wrong place vote n n cdnpoli elxn43
412,Negative,Women Reproductive right and Racism,b stop bcand crazi white nondis man speak amp silenc disabledindigen voic nbcand ed compens 120 000 159 999 travel amp vehicl expens 33 043 00 silenc aborigin amp disabl peopl deltabc elxn43
413,Negative,Others,b come ctv stop call warren kinsella consult firm better n nwarren kinsella dirtiest sob canadian polit n n cdnpoli elxn43
414,Negative,Others,b oh class bulli fight amongst elxn43
415,Negative,Climate Problem,b excus noth go bc carbontax sinc 2006 unemploy level continu among lowest canada gdp growth among highest canada elxn43 climatechang
416,Negative,Others,b alt right move canada beyond question parti polit elxn43 canpoli
417,Negative,Economy,b 93 hour pay today 88 hour pay 2015 xe2 x80 x99t afford anymor liber tax break n n trudeaumustgo cdnpoli cdnelxn2019 elxn43
418,Negative,Tell lies,b definit lie n cdnpoli elxn43 trudeaumustgo buttsmustgo liberalliesanddecept bigbluewav scheer2019 scheer4pm
419,Negative,Tell lies,b glad see paid senat vote help kill undrip spread lie nhow economi today comoar 4 year ago 5 year ago nanoth reason vote abc anythingbutconserv n n elxn43
420,Negative,Others,b vote split fals narr elxn43 tiresom demean voter xe2 x80 x99t support big two come liber cpc support especi liber xe2 x80 x99ve also share get unfollow block critic cdnpoli
